Season,Team,Wins,Losses,Draws,Games,HomeGoals,AwayGoals,WonAtLeast2,WonAtLeast3,HalfTimeWins,HalfTimeLosses,HalfTimeDraws,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeClutch,HalfTimeChoke,AVGHomeShots,AVGAwayShots,AVGHomeShotsTarget,AVGAwayShotsTarget,AVGHomeYellow,AVGAwayYellow,AVGHomeRed,AVGAwayRed,AVGHomeFouls,AVGAwayFouls,AVGHomeCorners,AVGAwayCorners
2004-2005,Bolton,16.0,12.0,10.0,38.0,25.0,24.0,3.0,1.0,14.0,10.0,14.0,11.0,12.0,1.0,1.0,7.973684210526316,4.657894736842105,4.473684210526316,2.210526315789474,0.6578947368421053,0.8421052631578947,0.02631578947368421,0.02631578947368421,6.447368421052632,7.7631578947368425,3.026315789473684,2.3947368421052633
2004-2005,Charlton,12.0,16.0,10.0,38.0,29.0,13.0,5.0,2.0,12.0,10.0,16.0,14.0,7.0,1.0,1.0,4.657894736842105,3.6315789473684212,2.8684210526315788,1.6842105263157894,0.2894736842105263,0.7105263157894737,0.05263157894736842,0.02631578947368421,5.921052631578948,6.184210526315789,2.3684210526315788,2.1052631578947367
2004-2005,Man City,13.0,12.0,13.0,38.0,24.0,23.0,6.0,2.0,15.0,6.0,17.0,15.0,13.0,0.0,0.0,5.473684210526316,5.052631578947368,2.789473684210526,2.736842105263158,0.4473684210526316,0.7105263157894737,0.02631578947368421,0.05263157894736842,5.684210526315789,6.921052631578948,3.3421052631578947,2.8157894736842106
2004-2005,Fulham,12.0,18.0,8.0,38.0,29.0,23.0,8.0,2.0,8.0,14.0,16.0,11.0,9.0,2.0,2.0,5.0,4.2105263157894735,2.5789473684210527,2.236842105263158,0.5526315789473685,0.9473684210526315,0.05263157894736842,0.13157894736842105,5.894736842105263,6.973684210526316,2.3684210526315788,2.4210526315789473
2004-2005,Middlesbrough,14.0,11.0,13.0,38.0,29.0,24.0,6.0,3.0,11.0,7.0,20.0,11.0,9.0,0.0,0.0,7.078947368421052,4.815789473684211,4.052631578947368,2.763157894736842,0.47368421052631576,0.9210526315789473,0.02631578947368421,0.02631578947368421,6.315789473684211,6.157894736842105,2.763157894736842,2.3421052631578947
2004-2005,Newcastle,10.0,14.0,14.0,38.0,25.0,22.0,4.0,1.0,13.0,8.0,17.0,11.0,13.0,0.0,0.0,8.026315789473685,4.7368421052631575,4.2894736842105265,2.4210526315789473,0.6578947368421053,0.868421052631579,0.07894736842105263,0.05263157894736842,5.947368421052632,6.921052631578948,3.973684210526316,2.236842105263158
2004-2005,Norwich,7.0,19.0,12.0,38.0,29.0,13.0,1.0,0.0,3.0,18.0,17.0,8.0,6.0,1.0,1.0,5.7368421052631575,3.8684210526315788,3.1052631578947367,1.7105263157894737,0.4473684210526316,0.4473684210526316,0.02631578947368421,0.02631578947368421,7.105263157894737,6.657894736842105,2.6315789473684212,2.289473684210526
2004-2005,Crystal Palace,7.0,19.0,12.0,38.0,21.0,20.0,5.0,2.0,5.0,12.0,21.0,8.0,8.0,0.0,0.0,5.2894736842105265,3.710526315789474,2.789473684210526,2.0,0.7894736842105263,0.7105263157894737,0.05263157894736842,0.02631578947368421,6.421052631578948,7.421052631578948,2.473684210526316,2.5
2004-2005,Portsmouth,10.0,19.0,9.0,38.0,30.0,13.0,4.0,1.0,6.0,10.0,22.0,17.0,8.0,1.0,1.0,6.078947368421052,3.9210526315789473,3.1315789473684212,1.894736842105263,0.631578947368421,0.7894736842105263,0.05263157894736842,0.0,6.342105263157895,5.657894736842105,2.736842105263158,1.868421052631579
2004-2005,Birmingham,11.0,15.0,12.0,38.0,24.0,16.0,4.0,1.0,10.0,10.0,18.0,12.0,10.0,1.0,1.0,5.315789473684211,4.131578947368421,2.8157894736842106,1.894736842105263,0.631578947368421,1.0263157894736843,0.05263157894736842,0.02631578947368421,6.7105263157894735,7.184210526315789,2.8947368421052633,2.1315789473684212
2004-2005,Tottenham,14.0,14.0,10.0,38.0,36.0,11.0,7.0,3.0,5.0,9.0,24.0,14.0,2.0,0.0,0.0,7.131578947368421,4.842105263157895,4.078947368421052,2.473684210526316,0.6842105263157895,0.7894736842105263,0.0,0.02631578947368421,5.868421052631579,5.815789473684211,2.8947368421052633,2.236842105263158
2004-2005,Liverpool,17.0,14.0,7.0,38.0,31.0,21.0,7.0,3.0,11.0,13.0,14.0,16.0,6.0,1.0,1.0,7.2105263157894735,5.684210526315789,3.6052631578947367,2.736842105263158,0.42105263157894735,0.7368421052631579,0.02631578947368421,0.02631578947368421,5.078947368421052,6.5,3.4473684210526314,2.3421052631578947
2004-2005,Chelsea,29.0,1.0,8.0,38.0,35.0,37.0,17.0,8.0,17.0,2.0,19.0,18.0,12.0,0.0,0.0,7.368421052631579,6.657894736842105,4.078947368421052,3.9210526315789473,0.4473684210526316,0.9473684210526315,0.0,0.0,5.947368421052632,6.526315789473684,3.4473684210526314,2.763157894736842
2004-2005,Man United,22.0,5.0,11.0,38.0,31.0,27.0,13.0,4.0,17.0,5.0,16.0,11.0,11.0,1.0,1.0,9.289473684210526,6.947368421052632,5.026315789473684,3.763157894736842,0.47368421052631576,0.8157894736842105,0.02631578947368421,0.10526315789473684,5.7105263157894735,6.684210526315789,4.657894736842105,3.0789473684210527
2004-2005,Everton,18.0,13.0,7.0,38.0,24.0,21.0,4.0,1.0,5.0,9.0,24.0,7.0,7.0,0.0,0.0,5.842105263157895,4.2105263157894735,2.789473684210526,2.0789473684210527,0.6052631578947368,0.8421052631578947,0.02631578947368421,0.07894736842105263,6.315789473684211,7.2631578947368425,2.8421052631578947,2.1578947368421053
2004-2005,Arsenal,25.0,5.0,8.0,38.0,54.0,33.0,17.0,10.0,21.0,3.0,14.0,24.0,14.0,1.0,1.0,6.7368421052631575,5.868421052631579,4.2894736842105265,3.5789473684210527,0.6052631578947368,0.6052631578947368,0.0,0.02631578947368421,5.7105263157894735,5.973684210526316,3.210526315789474,2.1315789473684212
2005-2006,Aston Villa,10.0,16.0,12.0,38.0,20.0,22.0,4.0,2.0,8.0,13.0,17.0,10.0,6.0,1.0,1.0,5.578947368421052,4.368421052631579,2.8421052631578947,2.3421052631578947,0.7894736842105263,0.8421052631578947,0.0,0.05263157894736842,7.2368421052631575,6.894736842105263,3.289473684210526,2.9473684210526314
2005-2006,Bolton,15.0,12.0,11.0,38.0,29.0,20.0,8.0,3.0,11.0,7.0,20.0,16.0,7.0,0.0,0.0,6.5,4.078947368421052,3.473684210526316,1.736842105263158,0.5263157894736842,1.1578947368421053,0.02631578947368421,0.05263157894736842,6.394736842105263,6.894736842105263,3.0,2.210526315789474
2005-2006,Everton,14.0,16.0,8.0,38.0,22.0,12.0,4.0,1.0,12.0,11.0,15.0,16.0,7.0,0.0,0.0,5.973684210526316,3.973684210526316,3.3421052631578947,2.0789473684210527,0.8947368421052632,0.8157894736842105,0.07894736842105263,0.10526315789473684,7.131578947368421,6.947368421052632,3.8421052631578947,2.3684210526315788
2005-2006,Man United,25.0,5.0,8.0,38.0,37.0,35.0,15.0,6.0,20.0,6.0,12.0,22.0,16.0,0.0,0.0,8.526315789473685,6.078947368421052,4.5,3.026315789473684,0.6842105263157895,0.8947368421052632,0.0,0.05263157894736842,5.894736842105263,6.894736842105263,3.5,2.3157894736842106
2005-2006,Fulham,14.0,18.0,6.0,38.0,31.0,17.0,2.0,1.0,12.0,12.0,14.0,18.0,9.0,0.0,0.0,4.7368421052631575,4.684210526315789,2.6315789473684212,2.0526315789473686,0.6842105263157895,0.9736842105263158,0.02631578947368421,0.02631578947368421,6.105263157894737,6.0,2.1578947368421053,2.1842105263157894
2005-2006,Birmingham,8.0,20.0,10.0,38.0,19.0,9.0,2.0,1.0,5.0,12.0,21.0,9.0,5.0,0.0,0.0,5.2894736842105265,4.026315789473684,2.3947368421052633,2.026315789473684,0.631578947368421,0.7631578947368421,0.05263157894736842,0.13157894736842105,5.947368421052632,6.7631578947368425,3.3684210526315788,2.3684210526315788
2005-2006,Man City,13.0,21.0,4.0,38.0,26.0,17.0,6.0,3.0,9.0,14.0,15.0,14.0,7.0,0.0,0.0,6.552631578947368,4.7631578947368425,3.263157894736842,2.3157894736842106,0.6578947368421053,1.1842105263157894,0.0,0.10526315789473684,6.973684210526316,6.552631578947368,3.1315789473684212,2.210526315789474
2005-2006,West Brom,7.0,22.0,9.0,38.0,21.0,10.0,4.0,1.0,7.0,12.0,19.0,9.0,3.0,0.0,0.0,4.921052631578948,3.8157894736842106,2.4210526315789473,1.868421052631579,0.42105263157894735,0.8157894736842105,0.02631578947368421,0.02631578947368421,6.473684210526316,6.342105263157895,2.3684210526315788,2.289473684210526
2005-2006,Middlesbrough,12.0,17.0,9.0,38.0,28.0,20.0,6.0,4.0,13.0,11.0,14.0,13.0,10.0,1.0,1.0,5.552631578947368,4.868421052631579,3.1578947368421053,2.6052631578947367,0.7631578947368421,0.6578947368421053,0.02631578947368421,0.05263157894736842,6.526315789473684,6.526315789473684,2.763157894736842,2.0789473684210527
2005-2006,Liverpool,25.0,6.0,7.0,38.0,32.0,25.0,14.0,3.0,17.0,6.0,15.0,15.0,11.0,0.0,0.0,9.052631578947368,5.7631578947368425,4.657894736842105,2.789473684210526,0.42105263157894735,0.8947368421052632,0.02631578947368421,0.10526315789473684,5.131578947368421,6.394736842105263,4.157894736842105,2.0
2005-2006,Portsmouth,10.0,20.0,8.0,38.0,17.0,20.0,3.0,1.0,7.0,16.0,15.0,6.0,8.0,1.0,1.0,6.5,4.315789473684211,3.5526315789473686,2.289473684210526,0.6842105263157895,0.7368421052631579,0.02631578947368421,0.0,6.368421052631579,6.684210526315789,3.3684210526315788,2.3684210526315788
2005-2006,Tottenham,18.0,9.0,11.0,38.0,31.0,22.0,9.0,0.0,12.0,11.0,15.0,11.0,9.0,2.0,2.0,6.473684210526316,4.342105263157895,3.5789473684210527,2.5789473684210527,0.6052631578947368,0.7631578947368421,0.02631578947368421,0.10526315789473684,6.105263157894737,6.157894736842105,3.210526315789474,2.3157894736842106
2005-2006,Sunderland,3.0,29.0,6.0,38.0,12.0,14.0,1.0,0.0,6.0,17.0,15.0,8.0,7.0,2.0,2.0,5.052631578947368,3.8157894736842106,2.9210526315789473,1.894736842105263,0.7368421052631579,1.0789473684210527,0.0,0.10526315789473684,6.7631578947368425,7.394736842105263,2.710526315789474,1.9473684210526316
2005-2006,Charlton,13.0,17.0,8.0,38.0,22.0,19.0,7.0,1.0,10.0,16.0,12.0,10.0,8.0,2.0,2.0,5.684210526315789,4.078947368421052,2.6315789473684212,2.1842105263157894,0.6052631578947368,0.6052631578947368,0.05263157894736842,0.02631578947368421,6.578947368421052,6.2105263157894735,1.8421052631578947,1.9210526315789473
2005-2006,West Ham,16.0,15.0,7.0,38.0,30.0,22.0,4.0,2.0,10.0,18.0,10.0,11.0,8.0,2.0,2.0,5.315789473684211,4.0,2.736842105263158,1.8157894736842106,0.5526315789473685,0.7631578947368421,0.02631578947368421,0.02631578947368421,6.394736842105263,6.684210526315789,2.6578947368421053,2.763157894736842
2005-2006,Blackburn,19.0,13.0,6.0,38.0,31.0,20.0,9.0,2.0,15.0,9.0,14.0,14.0,10.0,1.0,1.0,5.631578947368421,4.473684210526316,2.5789473684210527,2.236842105263158,0.8157894736842105,1.1842105263157894,0.10526315789473684,0.05263157894736842,7.894736842105263,7.052631578947368,3.0526315789473686,3.0
2005-2006,Arsenal,20.0,11.0,7.0,38.0,48.0,20.0,15.0,8.0,14.0,8.0,16.0,24.0,12.0,0.0,0.0,6.657894736842105,5.5,4.394736842105263,2.8157894736842106,0.631578947368421,0.8157894736842105,0.0,0.05263157894736842,5.973684210526316,6.631578947368421,3.1578947368421053,2.3947368421052633
2005-2006,Newcastle,17.0,14.0,7.0,38.0,28.0,19.0,10.0,4.0,11.0,10.0,17.0,16.0,7.0,0.0,0.0,5.868421052631579,3.8684210526315788,3.3421052631578947,2.1315789473684212,0.7368421052631579,1.0,0.07894736842105263,0.10526315789473684,8.157894736842104,7.631578947368421,2.789473684210526,2.210526315789474
2005-2006,Wigan,15.0,17.0,6.0,38.0,24.0,21.0,4.0,1.0,11.0,11.0,16.0,12.0,11.0,2.0,2.0,6.657894736842105,4.7368421052631575,3.210526315789474,2.236842105263158,0.7105263157894737,0.7105263157894737,0.07894736842105263,0.02631578947368421,6.157894736842105,6.815789473684211,2.5,1.9473684210526316
2005-2006,Chelsea,29.0,5.0,4.0,38.0,47.0,25.0,19.0,7.0,16.0,6.0,16.0,18.0,9.0,1.0,1.0,6.868421052631579,6.657894736842105,3.763157894736842,3.526315789473684,0.5789473684210527,1.0789473684210527,0.05263157894736842,0.07894736842105263,5.7368421052631575,5.684210526315789,2.8684210526315788,3.026315789473684
2006-2007,Arsenal,19.0,8.0,11.0,38.0,43.0,20.0,10.0,7.0,10.0,12.0,16.0,14.0,8.0,1.0,1.0,7.868421052631579,6.2631578947368425,4.5,2.763157894736842,0.7105263157894737,0.8421052631578947,0.0,0.07894736842105263,5.0,4.684210526315789,4.447368421052632,2.8684210526315788
2006-2007,Aston Villa,11.0,10.0,17.0,38.0,20.0,23.0,7.0,1.0,11.0,8.0,19.0,10.0,12.0,0.0,0.0,5.842105263157895,4.7894736842105265,2.8684210526315788,2.6842105263157894,0.5789473684210527,0.6842105263157895,0.0,0.02631578947368421,6.342105263157895,6.815789473684211,3.0789473684210527,2.526315789473684
2006-2007,Bolton,16.0,14.0,8.0,38.0,26.0,21.0,6.0,1.0,9.0,9.0,20.0,13.0,9.0,0.0,0.0,5.447368421052632,3.763157894736842,3.026315789473684,1.8157894736842106,0.7631578947368421,1.394736842105263,0.0,0.10526315789473684,6.526315789473684,7.184210526315789,3.289473684210526,2.3684210526315788
2006-2007,Tottenham,17.0,12.0,9.0,38.0,34.0,23.0,6.0,2.0,13.0,11.0,14.0,19.0,10.0,0.0,0.0,6.868421052631579,4.7631578947368425,3.763157894736842,2.473684210526316,0.5526315789473685,0.6578947368421053,0.05263157894736842,0.05263157894736842,4.2894736842105265,6.184210526315789,2.8684210526315788,1.894736842105263
2006-2007,Everton,15.0,10.0,13.0,38.0,33.0,19.0,10.0,5.0,13.0,6.0,19.0,14.0,7.0,2.0,2.0,5.631578947368421,4.7105263157894735,2.8947368421052633,2.3421052631578947,0.8947368421052632,0.868421052631579,0.0,0.05263157894736842,6.921052631578948,7.026315789473684,2.6578947368421053,2.8157894736842106
2006-2007,Watford,5.0,20.0,13.0,38.0,19.0,10.0,3.0,0.0,5.0,12.0,21.0,10.0,4.0,0.0,0.0,5.078947368421052,3.973684210526316,2.473684210526316,2.0526315789473686,0.6052631578947368,0.6578947368421053,0.02631578947368421,0.02631578947368421,6.973684210526316,7.815789473684211,2.973684210526316,2.5789473684210527
2006-2007,Newcastle,11.0,17.0,10.0,38.0,23.0,15.0,4.0,0.0,8.0,9.0,21.0,12.0,7.0,2.0,2.0,6.105263157894737,4.552631578947368,3.3157894736842106,2.236842105263158,0.631578947368421,1.131578947368421,0.02631578947368421,0.0,6.552631578947368,5.7105263157894735,2.6842105263157894,2.4210526315789473
2006-2007,Wigan,10.0,20.0,8.0,38.0,18.0,19.0,2.0,1.0,11.0,10.0,17.0,12.0,10.0,1.0,1.0,6.2631578947368425,4.7368421052631575,2.8947368421052633,2.5,0.7631578947368421,1.236842105263158,0.0,0.07894736842105263,5.605263157894737,6.947368421052632,2.5789473684210527,2.0789473684210527
2006-2007,Portsmouth,14.0,12.0,12.0,38.0,28.0,17.0,6.0,2.0,13.0,10.0,15.0,12.0,8.0,1.0,1.0,7.368421052631579,4.552631578947368,3.8684210526315788,2.289473684210526,0.6052631578947368,0.6842105263157895,0.02631578947368421,0.0,6.842105263157895,6.868421052631579,4.078947368421052,2.3684210526315788
2006-2007,Blackburn,15.0,16.0,7.0,38.0,31.0,21.0,8.0,4.0,12.0,10.0,16.0,15.0,9.0,0.0,0.0,6.157894736842105,4.842105263157895,3.1052631578947367,2.3684210526315788,1.0789473684210527,1.0526315789473684,0.10526315789473684,0.07894736842105263,7.368421052631579,6.5,2.8947368421052633,2.4473684210526314
2006-2007,Reading,16.0,15.0,7.0,38.0,29.0,23.0,7.0,1.0,14.0,10.0,14.0,16.0,10.0,1.0,1.0,5.421052631578948,3.8684210526315788,2.789473684210526,1.6842105263157894,0.47368421052631576,0.5789473684210527,0.02631578947368421,0.05263157894736842,5.131578947368421,5.447368421052632,3.8421052631578947,3.4210526315789473
2006-2007,Middlesbrough,12.0,16.0,10.0,38.0,31.0,13.0,6.0,2.0,8.0,13.0,17.0,13.0,7.0,1.0,1.0,6.394736842105263,3.710526315789474,3.210526315789474,1.8421052631578947,0.631578947368421,1.0789473684210527,0.0,0.05263157894736842,5.894736842105263,7.526315789473684,3.3157894736842106,1.631578947368421
2006-2007,Sheffield United,10.0,20.0,8.0,38.0,24.0,8.0,2.0,1.0,8.0,16.0,14.0,10.0,4.0,1.0,1.0,5.947368421052632,4.631578947368421,3.210526315789474,2.1052631578947367,0.8157894736842105,0.9736842105263158,0.0,0.05263157894736842,5.973684210526316,6.0,3.1842105263157894,1.5526315789473684
2006-2007,Liverpool,20.0,10.0,8.0,38.0,39.0,18.0,15.0,8.0,13.0,8.0,17.0,14.0,10.0,0.0,0.0,9.105263157894736,6.473684210526316,4.2368421052631575,3.289473684210526,0.34210526315789475,0.7894736842105263,0.0,0.0,5.447368421052632,6.2368421052631575,3.789473684210526,3.6315789473684212
2006-2007,West Ham,12.0,21.0,5.0,38.0,24.0,11.0,4.0,1.0,10.0,15.0,13.0,12.0,6.0,2.0,2.0,6.105263157894737,4.342105263157895,3.1315789473684212,2.1578947368421053,1.2105263157894737,1.0526315789473684,0.02631578947368421,0.02631578947368421,7.368421052631579,6.684210526315789,2.9473684210526314,2.236842105263158
2006-2007,Charlton,8.0,20.0,10.0,38.0,19.0,15.0,3.0,1.0,6.0,13.0,19.0,8.0,5.0,1.0,1.0,5.684210526315789,3.5526315789473686,2.8157894736842106,1.605263157894737,0.7631578947368421,0.7631578947368421,0.02631578947368421,0.07894736842105263,5.894736842105263,5.368421052631579,2.8421052631578947,1.894736842105263
2006-2007,Chelsea,24.0,3.0,11.0,38.0,37.0,27.0,11.0,7.0,20.0,4.0,14.0,17.0,12.0,0.0,0.0,7.5,6.2368421052631575,3.8684210526315788,3.263157894736842,0.6578947368421053,1.0263157894736843,0.02631578947368421,0.07894736842105263,5.7894736842105265,5.684210526315789,3.236842105263158,2.8157894736842106
2006-2007,Man City,11.0,18.0,9.0,38.0,10.0,19.0,5.0,0.0,5.0,15.0,18.0,5.0,8.0,0.0,0.0,5.526315789473684,4.842105263157895,2.736842105263158,2.6052631578947367,0.6052631578947368,0.9736842105263158,0.02631578947368421,0.07894736842105263,7.2105263157894735,6.815789473684211,3.0789473684210527,2.0526315789473686
2006-2007,Man United,28.0,5.0,5.0,38.0,46.0,37.0,19.0,10.0,17.0,5.0,16.0,24.0,9.0,1.0,1.0,9.342105263157896,7.157894736842105,5.105263157894737,3.8947368421052633,0.6052631578947368,0.9736842105263158,0.0,0.02631578947368421,5.605263157894737,5.605263157894737,3.3947368421052633,3.3947368421052633
